N,|E1/B0_eff|,|E2/B0_eff|
589,1.22023E-07,9.30409E-07
590,1.21517E-07,9.2738E-07
591,1.21014E-07,9.24366E-07
592,1.20514E-07,9.21367E-07
593,1.20017E-07,9.18383E-07
594,1.19523E-07,9.15413E-07
595,1.19032E-07,9.12459E-07
596,1.18544E-07,9.09518E-07
597,1.18058E-07,9.06592E-07
598,1.17576E-07,9.03681E-07
599,1.17096E-07,9.00784E-07
600,1.16618E-07,8.97901E-07
601,1.16144E-07,8.95031E-07
602,1.15672E-07,8.92176E-07
603,1.15203E-07,8.89335E-07
604,1.14737E-07,8.86508E-07
605,1.14273E-07,8.83694E-07
606,1.13812E-07,8.80894E-07
607,1.13353E-07,8.78108E-07
608,1.12897E-07,8.75334E-07
609,1.12444E-07,8.72575E-07
610,1.11993E-07,8.69828E-07
611,1.11545E-07,8.67095E-07
612,1.11099E-07,8.64375E-07
613,1.10656E-07,8.61667E-07
614,1.10215E-07,8.58973E-07
615,1.09777E-07,8.56292E-07
616,1.09341E-07,8.53623E-07
617,1.08907E-07,8.50967E-07
618,1.08476E-07,8.48324E-07
619,1.08048E-07,8.45693E-07
620,1.07621E-07,8.43074E-07
621,1.07198E-07,8.40468E-07
622,1.06776E-07,8.37874E-07
623,1.06357E-07,8.35293E-07
624,1.0594E-07,8.32723E-07
625,1.05525E-07,8.30166E-07
626,1.05113E-07,8.2762E-07
627,1.04703E-07,8.25087E-07
628,1.04295E-07,8.22565E-07
629,1.03889E-07,8.20055E-07
630,1.03486E-07,8.17557E-07
631,1.03085E-07,8.1507E-07
632,1.02686E-07,8.12595E-07
633,1.02289E-07,8.10131E-07
634,1.01894E-07,8.07679E-07
635,1.01502E-07,8.05238E-07
636,1.01111E-07,8.02808E-07
637,1.00723E-07,8.00389E-07
638,1.00337E-07,7.97982E-07
639,9.99528E-08,7.95586E-07
640,9.95707E-08,7.932E-07
641,9.91907E-08,7.90826E-07
642,9.88127E-08,7.88462E-07
643,9.84368E-08,7.86109E-07
644,9.80628E-08,7.83767E-07
645,9.76909E-08,7.81435E-07
646,9.73209E-08,7.79114E-07
647,9.69529E-08,7.76804E-07
648,9.65868E-08,7.74504E-07
649,9.62227E-08,7.72214E-07
650,9.58605E-08,7.69935E-07
651,9.55003E-08,7.67666E-07
652,9.51419E-08,7.65407E-07
653,9.47854E-08,7.63158E-07
654,9.44308E-08,7.60919E-07
655,9.40781E-08,7.58691E-07
656,9.37272E-08,7.56472E-07
657,9.33782E-08,7.54263E-07
658,9.30309E-08,7.52064E-07
659,9.26855E-08,7.49875E-07
660,9.23419E-08,7.47695E-07
661,9.20001E-08,7.45526E-07
662,9.166E-08,7.43365E-07
663,9.13218E-08,7.41215E-07
664,9.09852E-08,7.39074E-07
665,9.06505E-08,7.36942E-07
666,9.03174E-08,7.3482E-07
667,8.99861E-08,7.32707E-07
668,8.96564E-08,7.30603E-07
669,8.93285E-08,7.28508E-07
670,8.90023E-08,7.26423E-07
671,8.86777E-08,7.24346E-07
672,8.83548E-08,7.22279E-07
673,8.80335E-08,7.20221E-07
674,8.77139E-08,7.18172E-07
675,8.73959E-08,7.16131E-07
676,8.70796E-08,7.141E-07
