N, |E1/B0_eff|, |E2/B0_eff|, |E3/E3_main_decay|, |E3_main_decay/B0_eff|, |E3/B0_eff|, (|E1|+|E2|+|E3|)/|B0_eff|
946, 0.0000000382257290191849159354422357991, 0.000000375218167791854957688077450687, 0.209438482909015264960569532195, 0.000362266302094460390360052410388, 0.0000758725047197228033508184472856, 0.0000762859486165338432244419669721
947, 0.0000000381269441668258177916627179754, 0.000000374461401310694048973407445195, 0.209437282263999751408112415346, 0.000361474677969272597381803166642, 0.0000757062741611389574369406267528, 0.000076118862506616477303705696916
948, 0.0000000380285189252387648086772652803, 0.000000373706967291615039907704955887, 0.209436084155350054306942373561, 0.000360685536056670922842212223588, 0.0000755405662831824777708715274753, 0.0000759523017693993315755879096964
949, 0.00000003793045160922114629596499784, 0.000000372954856075184133589926808247, 0.209434888575037534399304813047, 0.000359898866150704305783676586211, 0.0000753753789305551040273284838863, 0.0000757862642382395093072143756924
950, 0.0000000378327405432201624694672877024, 0.000000372205058052153309252121404303, 0.209433695515067401965249506605, 0.000359114658097490328248778136997, 0.0000752107099589873236258176790036, 0.0000756207477575826970975392676956
951, 0.0000000377353840612675691950580436689, 0.000000371457563663146883514378393102, 0.209432504967478538619206177799, 0.000358332901794897577814899516012, 0.000075046557235170886313016285091, 0.0000754557501828953007657257215278
952, 0.0000000376383805069149314311132699618, 0.000000370712363398350357227735305313, 0.209431316924343320231174293386, 0.000357553587192230266671953434414, 0.0000748829186366917996699709488269, 0.0000752912693805970649586297974022
953, 0.0000000375417282331693808802656197476, 0.000000369969447797201528854429854239, 0.209430131377767440964255620099, 0.000356776704289915088939942903486, 0.0000747197920519638016308310766077, 0.0000751273032279941725405657720817
954, 0.0000000374454256024298734046769818054, 0.000000369228807448083855513490054912, 0.209428948319889738420327555504, 0.00035600224313919029808999981713, 0.0000745571753801623061356405056224, 0.0000749638496132128198645586726591
955, 0.0000000373494709864239418029279854641, 0.000000368490432988022042996398056931, 0.20942776774288201988572404089, 0.000355230193841796986497792299825, 0.0000743950665311588180751532264356, 0.000074800906435133264059952552478
956, 0.0000000372538627661449395899134176566, 0.00000036775431510237984623246891358, 0.209426589638948889668859013843, 0.00035446054654967254932175665742, 0.0000742334634254558137207199505657, 0.000074638471603324338506542332897
957, 0.0000000371585993317897714639525748139, 0.000000367020444524560061856673441885, 0.209425414000327577521794866116, 0.00035369329146464631506052257769, 0.000074072363994122082867017834001, 0.0000744765430379784327003384600177
958, 0.0000000370636790826971061876791064876, 0.00000036628881203570669470392562645, 0.209424240819287768137825245328, 0.000352928418838137325304182351019, 0.0000739117661787285289497702861193, 0.0000743151186698469327506618908522
959, 0.0000000369691004272860676511714601715, 0.000000365559408464409280223370185599, 0.209423070088131431717207783498, 0.000352165918970854246352710752968, 0.0000737516679312844234346285589006, 0.0000741541964401761187825031005464
960, 0.0000000368748617829953999272280498091, 0.000000364832224686409344973965198762, 0.209421901799192655593247958094, 0.000351405782212497395531910398324, 0.0000735920672141741108070699122544, 0.000073993774300643515551971105503
