t,zero_1,zero_2,zero_3,zero_4,zero_5
0.183,28.16345165,41.90616694,49.91439229,60.67589899,65.78409207
0.184,28.16287283,41.9054147,49.9138052,60.6749543,65.78361736
0.185,28.16229401,41.90466247,49.91321811,60.67400967,65.78314259
0.186,28.1617152,41.90391026,49.91263101,60.6730651,65.78266781
0.187,28.16113639,41.90315806,49.9120439,60.67212058,65.78219295
0.188,28.16055759,41.90240588,49.91145678,60.67117612,65.78171804
0.189,28.15997879,41.90165371,49.91086966,60.67023172,65.78124309
0.19,28.1594,41.90090156,49.91028253,60.66928737,65.78076812
0.191,28.1588212,41.90014942,49.9096954,60.66834308,65.78029308
0.192,28.15824242,41.8993973,49.90910825,60.66739884,65.77981797
0.193,28.15766364,41.89864519,49.9085211,60.66645467,65.77934282
0.194,28.15708486,41.8978931,49.90793395,60.66551054,65.77886764
0.195,28.15650609,41.89714102,49.90734679,60.66456648,65.7783924
0.196,28.15592732,41.89638896,49.90675962,60.66362247,65.77791711
0.197,28.15534855,41.89563691,49.90617244,60.66267852,65.77744177
0.198,28.15476979,41.89488488,49.90558526,60.66173463,65.77696641
0.199,28.15419104,41.89413286,49.90499807,60.66079079,65.77649096
0.2,28.15361229,41.89338086,49.90441088,60.65984701,65.77601546
0.201,28.15303354,41.89262887,49.90382367,60.65890329,65.77553994
0.202,28.1524548,41.8918769,49.90323646,60.65795962,65.77506437
0.203,28.15187606,41.89112494,49.90264925,60.65701601,65.77458873
0.204,28.15129733,41.89037299,49.90206203,60.65607245,65.77411305
0.205,28.1507186,41.88962106,49.9014748,60.65512895,65.77363734
0.206,28.15013988,41.88886915,49.90088756,60.65418551,65.77316157
0.207,28.14956116,41.88811725,49.90030032,60.65324213,65.77268576
0.208,28.14898244,41.88736537,49.89971307,60.6522988,65.77220986
0.209,28.14840373,41.8866135,49.89912581,60.65135553,65.77173394
0.21,28.14782502,41.88586164,49.89853855,60.65041231,65.771258
0.211,28.14724632,41.8851098,49.89795128,60.64946915,65.77078197
0.212,28.14666762,41.88435798,49.89736401,60.64852605,65.77030591
0.213,28.14608893,41.88360617,49.89677672,60.647583,65.76982981
0.214,28.14551024,41.88285437,49.89618944,60.64664001,65.76935364
