N,bound,boundtype
69713,0.045081097,lemma_euler5
69714,0.045086614,lemma_euler5
69715,0.045089349,lemma_euler5
69716,0.045093932,lemma_euler5
69717,0.045097324,lemma_euler5
69718,0.045101908,lemma_euler5
69719,0.045103735,lemma_euler5
69720,0.045109375,lemma_euler5
69721,0.045111203,lemma_euler5
69722,0.045115786,lemma_euler5
69723,0.045119178,lemma_euler5
69724,0.04512376,lemma_euler5
69725,0.045126494,lemma_euler5
69726,0.04513201,lemma_euler5
69727,0.045133837,lemma_euler5
69728,0.045138419,lemma_euler5
69729,0.045141811,lemma_euler5
69730,0.045146663,lemma_euler5
69731,0.04514849,lemma_euler5
69732,0.045154005,lemma_euler5
69733,0.045155832,lemma_euler5
69734,0.045160414,lemma_euler5
69735,0.045164383,lemma_euler5
69736,0.045168965,lemma_euler5
69737,0.045170792,lemma_euler5
69738,0.045176306,lemma_euler5
69739,0.045178133,lemma_euler5
69740,0.045182984,lemma_euler5
69741,0.045186375,lemma_euler5
69742,0.045190956,lemma_euler5
69743,0.045192783,lemma_euler5
69744,0.045198297,lemma_euler5
69745,0.04520103,lemma_euler5
69746,0.045205611,lemma_euler5
69747,0.045209001,lemma_euler5
69748,0.045213581,lemma_euler5
69749,0.045215408,lemma_euler5
69750,0.045221045,lemma_euler5
69751,0.045222872,lemma_euler5
69752,0.045227452,lemma_euler5
69753,0.045230842,lemma_euler5
69754,0.045235422,lemma_euler5
69755,0.045238155,lemma_euler5
69756,0.045243667,lemma_euler5
69757,0.045245494,lemma_euler5
69758,0.045250074,lemma_euler5
69759,0.045253463,lemma_euler5
69760,0.045258313,lemma_euler5
69761,0.045260139,lemma_euler5
69762,0.04526565,lemma_euler5
69763,0.045267477,lemma_euler5
69764,0.045272056,lemma_euler5
69765,0.045276023,lemma_euler5
69766,0.045280602,lemma_euler5
69767,0.045282428,lemma_euler5
69768,0.045287939,lemma_euler5
69769,0.045289765,lemma_euler5
69770,0.045294614,lemma_euler5
69771,0.045298002,lemma_euler5
69772,0.045302581,lemma_euler5
69773,0.045304407,lemma_euler5
69774,0.045309918,lemma_euler5
69775,0.045312649,lemma_euler5
69776,0.045317227,lemma_euler5
69777,0.045320616,lemma_euler5
69778,0.045325193,lemma_euler5
69779,0.04532702,lemma_euler5
69780,0.045332654,lemma_euler5
69781,0.04533448,lemma_euler5
69782,0.045339057,lemma_euler5
69783,0.045342445,lemma_euler5
69784,0.045347022,lemma_euler5
69785,0.045349754,lemma_euler5
69786,0.045355263,lemma_euler5
69787,0.045357089,lemma_euler5
69788,0.045361666,lemma_euler5
69789,0.045365054,lemma_euler5
69790,0.0453699,lemma_euler5
69791,0.045371726,lemma_euler5
69792,0.045377234,lemma_euler5
69793,0.04537906,lemma_euler5
69794,0.045383637,lemma_euler5
69795,0.0453876,lemma_euler5
69796,0.045392177,lemma_euler5
69797,0.045394003,lemma_euler5
69798,0.04539951,lemma_euler5
69799,0.045401336,lemma_euler5
69800,0.045406182,lemma_euler5
69801,0.045409569,lemma_euler5
69802,0.045414144,lemma_euler5
69803,0.04541597,lemma_euler5
69804,0.045421477,lemma_euler5
69805,0.045424207,lemma_euler5
69806,0.045428783,lemma_euler5
69807,0.045432169,lemma_euler5
69808,0.045436744,lemma_euler5
69809,0.04543857,lemma_euler5
69810,0.045444201,lemma_euler5
69811,0.045446026,lemma_euler5
69812,0.045450601,lemma_euler5
69813,0.045453987,lemma_euler5
69814,0.045458562,lemma_euler5
69815,0.045461292,lemma_euler5
69816,0.045466797,lemma_euler5
69817,0.045468622,lemma_euler5
69818,0.045473197,lemma_euler5
69819,0.045476582,lemma_euler5
69820,0.045481426,lemma_euler5
69821,0.045483252,lemma_euler5
69822,0.045488756,lemma_euler5
69823,0.045490581,lemma_euler5
69824,0.045495155,lemma_euler5
69825,0.045499117,lemma_euler5
69826,0.045503691,lemma_euler5
69827,0.045505516,lemma_euler5
69828,0.04551102,lemma_euler5
69829,0.045512845,lemma_euler5
69830,0.045517688,lemma_euler5
69831,0.045521073,lemma_euler5
69832,0.045525646,lemma_euler5
69833,0.045527471,lemma_euler5
69834,0.045532975,lemma_euler5
69835,0.045535704,lemma_euler5
69836,0.045540276,lemma_euler5
69837,0.045543661,lemma_euler5
69838,0.045548234,lemma_euler5
69839,0.045550058,lemma_euler5
69840,0.045555685,lemma_euler5
69841,0.04555751,lemma_euler5
69842,0.045562082,lemma_euler5
69843,0.045565467,lemma_euler5
69844,0.045570039,lemma_euler5
69845,0.045572768,lemma_euler5
69846,0.04557827,lemma_euler5
69847,0.045580094,lemma_euler5
69848,0.045584666,lemma_euler5
69849,0.04558805,lemma_euler5
69850,0.045592891,lemma_euler5
69851,0.045594716,lemma_euler5
69852,0.045600217,lemma_euler5
69853,0.045602041,lemma_euler5
69854,0.045606612,lemma_euler5
69855,0.045610572,lemma_euler5
69856,0.045615143,lemma_euler5
69857,0.045616968,lemma_euler5
69858,0.045622469,lemma_euler5
69859,0.045624293,lemma_euler5
69860,0.045629132,lemma_euler5
69861,0.045632516,lemma_euler5
69862,0.045637086,lemma_euler5
69863,0.045638911,lemma_euler5
69864,0.045644411,lemma_euler5
69865,0.045647139,lemma_euler5
69866,0.045651709,lemma_euler5
69867,0.045655092,lemma_euler5
69868,0.045659661,lemma_euler5
69869,0.045661486,lemma_euler5
69870,0.045667109,lemma_euler5
69871,0.045668933,lemma_euler5
69872,0.045673503,lemma_euler5
69873,0.045676886,lemma_euler5
69874,0.045681455,lemma_euler5
69875,0.045684182,lemma_euler5
69876,0.045689681,lemma_euler5
69877,0.045691505,lemma_euler5
69878,0.045696074,lemma_euler5
69879,0.045699456,lemma_euler5
69880,0.045704294,lemma_euler5
69881,0.045706118,lemma_euler5
69882,0.045711616,lemma_euler5
69883,0.04571344,lemma_euler5
69884,0.045718008,lemma_euler5
69885,0.045721966,lemma_euler5
69886,0.045726534,lemma_euler5
69887,0.045728358,lemma_euler5
69888,0.045733855,lemma_euler5
69889,0.045735679,lemma_euler5
69890,0.045740516,lemma_euler5
69891,0.045743898,lemma_euler5
69892,0.045748465,lemma_euler5
69893,0.045750289,lemma_euler5
69894,0.045755786,lemma_euler5
69895,0.045758512,lemma_euler5
69896,0.04576308,lemma_euler5
69897,0.04576646,lemma_euler5
69898,0.045771028,lemma_euler5
69899,0.045772852,lemma_euler5
69900,0.045778471,lemma_euler5
69901,0.045780295,lemma_euler5
69902,0.045784862,lemma_euler5
69903,0.045788243,lemma_euler5
69904,0.045792809,lemma_euler5
69905,0.045795535,lemma_euler5
69906,0.045801031,lemma_euler5
69907,0.045802854,lemma_euler5
69908,0.04580742,lemma_euler5
69909,0.045810801,lemma_euler5
69910,0.045815636,lemma_euler5
69911,0.045817459,lemma_euler5
69912,0.045822954,lemma_euler5
69913,0.045824777,lemma_euler5
69914,0.045829343,lemma_euler5
69915,0.045833298,lemma_euler5
69916,0.045837864,lemma_euler5
69917,0.045839687,lemma_euler5
